[2022-02-24 12:38:32,985] [INFO ] [BusServiceImpl.java:39] - log4j Test
[2022-02-24 13:45:02,205] [DEBUG] [BusServiceImpl.java:37] - Bus Route Id : 108900007
[2022-02-24 13:45:02,298] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09873</arsId><beginTm>05:20</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0376226365</gpsX><gpsY>37.6316563508</gpsY><lastTm>00:07</lastTm><posX>203320.5219955709</posX><posY>459121.4820239148</posY><routeType>2</routeType><sectSpd>0</sectSpd><section>0</section><seq>1</seq><station>108900017</station><stationNm>강북보건소앞.번2동주민센터</stationNm><stationNo>09873</stationNo><transYn>N</transYn><fullSectDist>0</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,298] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09176</arsId><beginTm>05:20</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0391909431</gpsX><gpsY>37.6321072503</gpsY><lastTm>23:58</lastTm><posX>203458.91767856322</posX><posY>459171.5784409875</posY><routeType>2</routeType><sectSpd>5</sectSpd><section>108602341</section><seq>2</seq><station>108000088</station><stationNm>강북보건소</stationNm><stationNo>09176</stationNo><transYn>N</transYn><fullSectDist>227</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09502</arsId><beginTm>05:20</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0395643313</gpsX><gpsY>37.6289921152</gpsY><lastTm>23:45</lastTm><posX>203492.01796757488</posX><posY>458825.8819899927</posY><routeType>2</routeType><sectSpd>16</sectSpd><section>108602342</section><seq>3</seq><station>108900154</station><stationNm>번동초교.솔그린APT.하나은행</stationNm><stationNo>09502</stationNo><transYn>N</transYn><fullSectDist>536</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09510</arsId><beginTm>05:22</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0378426735</gpsX><gpsY>37.627648264</gpsY><lastTm>23:45</lastTm><posX>203340.1215348947</posX><posY>458676.68196816323</posY><routeType>2</routeType><sectSpd>2</sectSpd><section>108601111</section><seq>4</seq><station>108900148</station><stationNm>번동슈퍼</stationNm><stationNo>09510</stationNo><transYn>N</transYn><fullSectDist>230</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09518</arsId><beginTm>05:20</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.036646366</gpsX><gpsY>37.6278189463</gpsY><lastTm>23:47</lastTm><posX>203234.52401409022</posX><posY>458695.58196919225</posY><routeType>2</routeType><sectSpd>14</sectSpd><section>108600217</section><seq>5</seq><station>108900025</station><stationNm>청화슈퍼</stationNm><stationNo>09518</stationNo><transYn>N</transYn><fullSectDist>153</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09526</arsId><beginTm>05:21</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0356513173</gpsX><gpsY>37.6271497463</gpsY><lastTm>23:48</lastTm><posX>203146.72608340337</posX><posY>458621.28195513366</posY><routeType>2</routeType><sectSpd>12</sectSpd><section>108600218</section><seq>6</seq><station>108900140</station><stationNm>금강슈퍼</stationNm><stationNo>09526</stationNo><transYn>N</transYn><fullSectDist>113</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09533</arsId><beginTm>05:21</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0345282908</gpsX><gpsY>37.6265355415</gpsY><lastTm>23:48</lastTm><posX>203047.628404376</posX><posY>458553.08194964286</posY><routeType>2</routeType><sectSpd>9</sectSpd><section>108600219</section><seq>7</seq><station>108900134</station><stationNm>인천슈퍼</stationNm><stationNo>09533</stationNo><transYn>N</transYn><fullSectDist>123</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09541</arsId><beginTm>05:22</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.032482888</gpsX><gpsY>37.6254665363</gpsY><lastTm>23:49</lastTm><posX>202867.1326460315</posX><posY>458434.38193562906</posY><routeType>2</routeType><sectSpd>14</sectSpd><section>108600220</section><seq>8</seq><station>108900174</station><stationNm>당진슈퍼</stationNm><stationNo>09541</stationNo><transYn>N</transYn><fullSectDist>220</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09535</arsId><beginTm>05:23</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0321493948</gpsX><gpsY>37.6244988638</gpsY><lastTm>23:49</lastTm><posX>202837.7333420347</posX><posY>458326.98191208625</posY><routeType>2</routeType><sectSpd>5</sectSpd><section>108600221</section><seq>9</seq><station>108900132</station><stationNm>삼광학원</stationNm><stationNo>09535</stationNo><transYn>N</transYn><fullSectDist>120</fullSectDist><trnstnid>108900168</trnstnid></itemList>
